Zona ,Tipo Tarifa – Num,Tipo Tarifa,Calle,Altura Inicial,Altura Final
1,2,Simple,15 DE NOVIEMBRE DE 1889,1101,1200
1,2,Simple,i5 DE NOVIEMBRE DE 18S9,1301,2500
1,2,Simple,20 DE SETIEMBRE,1,100
1,2,Simple,20 DE SETIEMBRE,401,600
1,1,Proqresiva,24 DE NOVIEMBRE,1,300
1,2,Simple,24 DE NOVIEMBRE,301,1800
1,1,Progresiva,5 DE JULIO,401,500
1,1,Proqresiva,ACEVEDO EDUARDO,1,100
1,2,Simple,ACEVEDO EDUARDO,301,400
1,2,Simple,ACHAVAL RODRIGUEZ T. DR. AV.,1401,1550
1,2,Simple,ACUÑA DE FIGUEROA FRANCISCO,101,400
1,1,Progresiva,ACUÑA DE FIGUEROA FRANCISCO,401,1200
1,2,Simple,AGRELO,3001,3100
1,2,Simple,AGRELO,3201,4200
1,1,Progresiva,AGRELO,4201,4400
1,1,Prooresìva,AGUERO,1,100
1,1,Progresiva,AGUERO,201,500
1,1,Progresiva,AGUERO,701,1000
1,1,Prog resiva,AGU IRRE,1,100
1,2,Simple,ALBERTI,1401,2200
1,2,Simple,"ALMAFUERTE AV,",301,600
1,2,Simple,ALMAFUERTE AV.,671,698
1,1,Progresiva,ALSINA ADOLFO,201,400
1,1,Progresiva,ALSINA ADOLFO,601,100
1,1,Proqresiva,ALSINA ADOLFO,1601,3300
1,2,Simple,ALVAR NUÑEZ,1,300
1,1,Progresiva,ALVEAR AV.,1301,1400
1,1,Proqresiva,ALVEAR MARCELO T. De,401,600
1,1,Progresiva,ALVEAR MARCELO T. De,701,900
1,1,Progresiva,ANCHORENA TOMAS MANUEL DE DR.,1,100
1,2,Sim pie,ANCHORENA TOMAS MANUEL DE DR.,101,198
1,1,Progresiva,ANCHORENA TOMAS MANU¡::L DE DR.,203,500
1,1,Progresiva,ANCHORENA TOMAS MANUEL DE DR.,601,900
1,2,Simple,ANCHORIS,1,300
1,2,Simple,ANGACO,4041,4100
1,2,Simple,ANTEQUERA,1701,1800
1,2,Simple,APULE,1601,1700
1,2,Simple,"ARAOZ DE LAMADRID GREGORIO GRAL.,",101,1600
1,2,Simple,ARAOZ DE LAMADRID GREGORJO GRAL.,1741,1900
1,1,Proqresiva,ARENALES,801,1000
1,1,Proqresiva,ARENALES,1081,1500
1,1,Proqresiva,ARROYO,801,900
1,1,Progresiva,ARROYO,1101,1200
1,2,Simple,ARZOBISPO ESPINOSA,401,700
1,2,Simple,ARZOBISPO ESPINOSA,1001,1600
1,1,Proqreslva,AYACUCHO,1,700
1,2,Simple,AYOLAS,401,500
1,2,Simple,AZARA,1,1400
1,1,Prowesiva,AZOPARDO,401,500
1,2,Simple,AZOPARDO,501,600
1,2,Simple,AZOPARDO,701,1200
1,2,Simple,AZOPARDO,1301,1600
1,2,Simple,BAIGORRI,1,200
1,1,Progresiva,BAlCARCE,1,500
1,2,Simple,BALCARCE,501,800
1,2,Simple,BALCARCE,851,1500
1,2,Simple,BARCALA,3001,3100
1,1,Progresiva,BASAVllBASO,1301,1400
1,1,Proqresiva,BELGRANO,3801,4300
1,1,Proqresiva,BElGRANO AV.,201,1000
1,1,Prcorsslva,BElGRANO AV.,1101,1500
1,1,Progresiva,BELGRAND AV.,1601,2299
1,1,Proqresiva,BELGRANO AV.,2282,2335
1,1,Proqresìva,BElGRANO AV.,2302,2800
1,2,Simple,BIDEGAIN PEDRO,4051,4100
1,2,Simple,BLANES JUAN MANUEL,1,600
1,1,Proqresiva,BOCAYUVA QUINTINO,1,400
1,2,Simple,BOCAYUVA QUINTINO,401,1400
1,2,Simple,BOEDO AV,301,1400
1,1,Proqresiva,BOGADO,4401,4600
1,1,Proqreslva,BOLIVAR,1,49
1,1,Proqresiva,BOLIVAR,2,500
1,2,Simple,BO LlVAR,1601,1699
1,2,Simple,BOLIVAR,1660,1733
1,2,Simple,BOLIVAR,1702,1784
1,2,Simple,BOLIVAR,1771,1900
1,1,Proqresiva,BOUCHARD,401,700
1,1,Progresiva,BOULOGNE SUR MER,201,1000
1,2,Simple,BRANDSEN,1,700
1,2,Simple,BRANDSEN,801,2000
1,2,Simple,BRASil,401,800
1,2,Simple,BRASIL,1151,1180
1,2,Simple,BRASil,1301,3000
1,2,Simple,BRASllAV.,41,400
1,1,Proqreslva,BRAVO MARIO,301,1000
1,2,Simple,BRIN Ministro,501,1500
1,1,Proqresiva,BUlNES,701,1200
1,2,Simple,CABOTO,101,1430
1,1,Progresiva,CABRAL Sgto.,801,900
1,2,Simple,CACHI,1,500
1,2,Simple,CAFFARENA AGUSTIN R.,1,200
1,2,Simple,CALVO CARLOS,1,1000
1,2,Simple,CALVO CARLOS,1101,3800
1,1,Progresiva,CAPDEVILAARTURO,1601,1700
1,2,Simple,CASACUBERTA,3101,3200
1,2,Simple,CASEROS AV.,401,1000
1,1,Progresiva,CASTELLI,1,400
1,1,Progresiva,CASTILLO,1,100
1,2,Simple,CASTILLO CATUlO,2301,2500
1,2,Simple,CASTRO,501,1400
1,2,Simple,CASTRO BARROS,501,1400
1,1,Proqresíva,CASTRO BARROS AV.,1,300
1,2,Simple,CASTRO BARROS AV.,301,500
1,2,Simple,CATAMARCA,1101,1300
1,2,Simple,CATAMARCA,1401,1900
1,2,Simple,CEVALLOS Virrey,501,1500
1,2,Simple,CEVALLOS Virrey,1601,2100
1,2,Simple,CHACABUCO,801,1600
1,2,Simple,CHILE,1301,2600
1,2,Simple,CHilE,2901,3000
1,2,Simple,CHilE AV.,1,400
1,2,Simple,COCHABAMBA,1,1000
1,2,Simple,COCHABAMBA,1101,2600
1,2,Simple,COCHABAMBA,2701,3000
1,2,Simple,COCHABAMBA,3101,4400
1,2,Simple,COLOMBRES,1001,1400
1,2,Simple,CONSTITUCION,1001,1151
1,2,Simple,CONSTiTUCION,1201,1400
1,2,Simple,CONSTITUCION,1501,4400
1,2,Simple,CORTEJARENA JOSE A.,3501,3548
1,2,Simple,CORTEJARENA JOSE A.,3550,3600
1,2,Simple,COSSETTINIOlGA,701,800
1,2,Simple,COSSETTINIOLGA,901,1100
1,2,Simple,COSSETTINIOLGA,1201,1400
1,2,Simple,COSSETTINIOlGA,1501,1700
1,1,Proqresiva,CRUCERO GRAL. BELGRAND,1201,1300
1,2,Simple,DANEL,1401,1500
1,2,Simple,DE MOUSSY MARTIN,401,500
1,2,Simple,DEAN FUNES,301,699
1,2,Simple,DEAN FUNES,692,1700
1,2,Simple,"DEAN f""UNES",1691,1720
1,2,Simple,DEAN FUNES,1701,1900
1,1,Progresiva,DEFENSA,101,500
1,2,Simple,DEFENSA,501,696
1,2,Simple,DEFENSA,1201,1300
1,2,Simple,DEFENSA,1601,1852
1,1,Progresiva,DEL CARMEN,701,800
1,2,Simple,D'ESPOSITO ARNALDO,101,250
1,2,Simple,DEVOTO FORTUNATO,401,600
1,1,Progresiva,DON BOSCO,3401,4200
1,2,Simple,DON PEDRO DE MENDOZA AV.,301,500
1,2,Simple,ECHAGUE PEDRO,1101,1900
1,1,Proqresiva,ECUADOR,1,99
1,1,Proqresiva,ECUADOR,2,100
1,1,Proqresiva,ESMERALDA,1101,1200
1,1,Proqresiva,ESPARZA,1,100
1,1,Progresiva,ESTADO DE ISRAELAV.,4101,4500
1,1,Proqresiva,ESTADO DE ISRAELAV.,4503,4558
1,1,Proqresiva,ESTADO DE ISRAEL AV.,4539,4799
1,1,Proqresiva,ESTADO DE ISRAELAV.,4784,4849
1,2,Simple,ESTADOS UNIDOS,101,1000
1,2,Simple,ESTADOS UNIDOS,1101,4400
1,2,Simple,ESTRADA,1,200
1,2,Simple,EYLE PETRONA,301,500
1,2,Simple,EZCURRA ENCARNACION,301,600
1,2,Simple,FAMATINA,3501,3600
