Zona,Tipo Tarifa Num,Tipo Tarifa,Calle,Altura Inicial,Altura Final
2,1,Proqresiva,11 DE SEPTIEMBRE DE 1888,701,1400
2,2,Simple,llDESEPTIEMBREDE188a,1401,1500
2,2,Simple,12 DE OCTUBRE,1601,1900
2,1,Progresiva,3 DE FEBRERO,701,1400
2,2,Simple,3 DE FEBRERO,1401,1500
2,1,Progresiva,ACEVEDO,1,1200
2,1,Progresiva,ACQYTE,1101,1710
2,1,Proqresiva,ACUÑA DE FIGUEROA FRANCISCO,1201,1800
2,2,Simple,AGOTE LUIS Dr.,2201,2600
2,2,Simple,AGUADO ALEJANDRO M. DE,2801,2900
2,1,Progresiva,AGUERO,1001,2000
2,2,Simple,AGUERO,2001,2700
2,1,Progresiva,AGUILAR,2001,2400
2,1,Progresiva,AGUI RRE,101,1200
2,2,Simple,AGUIRRE,1201,1700
2,2,Simple,ALVAREZ DONATO Tte. Gral. AV.,2201,2300
2,2,Simple,ALVAREZ JONTE,1501,1780
2,1,Progresiva,ALVAREZ JULIAN,1,2900
2,2,Simple,ALVAREZ THOMAS AV.,1,300
2,2,Simple,ALVEAR AV.,1801,1950
2,2,Simple,AMENABAR,101,400
2,1,Progresiva,ANASAGASTI,2001,2100
2,1,Progresiva,ANCHORENA TOMAS MANU EL DE DR.,901,1300
2,1,Progresiva,ANCHORENA TOMAS MANUEL DE DR.,1401,1700
2,2,Simple,ANCHORENA TOMAS MANUEL DE DR.,1801,1900
2,1,Proqresiva,ANCON,5101,5400
2,1,Progresiva,ANTEZANA,1,500
2,2,Simple,ANTEZANA,501,600
2,2,Simple,AÑASCO,2201,3100
2,1,Proqresìva,ARAOZ,1,2900
2,2,Simple,ARAOZ,2901,3000
2,1,Proqresìva,ARGE,201,1000
2,1,Proqresiva,ARCOS,1101,1500
2,1,Progresiva,ARENAL CONCEPCION,2301,2500
2,2,Simple,ARENAL CONCEPCION,2501,2800
2,2,Simple,ARENAL CONCEPCION,3401,4100
2,2,Simple,ARENAL CONCEPCION,4201,4400
2,1,Progresiva,ARENALES,1501,3900
2,2,Simple,AREVALO,1301,2300
2,1,Proqresiva,AREVALO,2301,2400
2,,,,,
2,1,Progresiva,AREVALO,2801,3100
2,1,Proqresiva,ARGAÑARAS,1,100
2,1,Proqresiva,ARGUIBEL ANDRES,2801,2950
2,2,Simple,ARJONILLA.,2301,2400
2,1,Proç¡resiva,ARMENIA,1201,2500
2,1,Progresiva,ARRIBEÑOS,1201,1400
2,2,Simple,ARRIBEÑOS,1401,1600
2,1,Progresiva,ATACALCO,1701,1800
2,1,Progresiva,AUSTRIA,1701,2100
2,2,Simple,AUSTRIA,2101,2700
2,2,Simple,AVALOS,701,900
2,1,Progresiva,AYACUCHO,801,1500
2,2,Simple,AYACUCHO,1701,2200
2,1,Progresiva,AZCUENAGA,1101,1400
2,2,Simple,AZCUENAGA,1901,2100
